author,text,like_count,cluster
@rupanggon,"Mbak nana, jika ada kesempatan lagi tolong sampaikan. Izinkan masyarakat membuat dokumentasi via digital jika membuat pengaduan dan hal apapun ketika berhadapan dengan pelayan masyarakat, all bidang. Guna sebagai arsip digital dan pelurusan pelayanan sesuai ketentuan....",0,1
@AnnisaSyawie,Nnton in hrus pake kecepatan 1.50 biar gk ketiduran😅pak prbowo ngomongnya kayak sabang dan merauke. Jauh😂,0,1
@IdsaIdsa-q8u,"Semoga terealisasi apa2 yg di cita2kan bapak prabowo dan rakyat indonesia,,",0,1
@johnchristiantanamal3167,"Saya sangat Respect pd bpk Presiden, perlu diskusi terbuka seperti ini. 
Sy kutip sangat penting Chk n Re-chk perlu dikontrol dlm pekerjaan,Karyawan Kontrak dlm terminologi Hukum (PKWT) dan karyawan tetap dhn istilah 905 dan yg terpenting lagi penyampaian tentang penghapusan OUTSOURCING pd pidatonya di May day sangat di butuhkan masa depannya kepada para pekerja kontrak(PKWT)",1,1
@SuhardiBastian,"Bpk presiden Prabowo hebat strategi kepemimpinan nya,is the best ❤❤",2,1
@siwirsiwir8507,"Masih terlihat belum terbiasa menjadi presiden , atau mungkin beliau sedang berusaha menjadi sosok yang bukan dirinya sendiri ?",0,0
@karyadiyadi6613,😂😂😂kualitas pemimpin Indonesia begini😂😂,0,1
@karyadiyadi6613,Panjang lebar 😂 isinya 0. Muter2 tanpa isi pokoknya... 😂😂😂😂,0,1
@dedemamnuah3379,Klo disimak setiap jawabannya gak nyambung sih hihihi mohon maaf,0,1
@BelverageCoke,Saya mengantuk,0,1
@BektiHarjono,Gerindra pan yg sangat kuat apalah PDI perjuangan.dandemokrat turut membantu membuyarkan arahan pak Prabowo,0,1
@BektiHarjono,Kalau di pilih udah mampan tidak bisa di ganti itulah yg dbuat pak Prabowo sistim taguh tidak bisa d ganggu di smua rakyat mau yg sebenar nya.,0,2
@BektiHarjono,Jadilah pak Prabowo yg taguh jgn segan segan mengganggu  keutuhan pakprabowo dan wakil nya .,0,2
@jackbad2516,kita kita kita trus,0,1
@agzacn3574,53:56  bukan dame tapi... Dame dane dame yooo dame dadoyooo,2,1
@Seth666.,Mba nanq tanya Indikator ambil tindakan dan jawabannya apa 😂  1:33:35,0,1
@Seth666.,"Ditanya apa jawab kemana, ya alloh pak",0,1
@icnyoung5558,Tidak seperti presiden sebelumnya yg hanya pandai dalam bicara yg simpel & berbobot karna pak prabowo lebih ke aksi bukan basa basi yg tidak ada bukti.,1,0
@boymen8115,Salah judul,0,1
@anjaywijay1833,Saya sedih dg kualitas pemimpin negara ini,0,1
@sugengsutrisno7697,😮petani kita byk yg gk punya lahan  jd nya cm buruh tani gemana,0,2
@raraamalia8798,Prabohong,1,1
@FatimahIbrahim-q1l,Setujum,0,1
@HermanSumberpucung-zp4bi,"sing komen2 elek tentang Prabowo, psti pendukung e Pemerintahan Korupsi",0,1
@AlmendoJunardidollu,"Negara kuat negara maju tu karena tdk ada korupsi pak, bukan pertanian klo tdk ada korupsi pasti banyak dana yg di saluran bukan hanya untuk pertanian tapi pembangunan dan teknologi pak😂😂 president apalah",0,1
@annara_c,udah yapping nya?,0,2
@JokoSampurno-h1v,Smoga diskusi spt ini.. dilakukan juga pula diskusi begini dgn Gibran  Wakil Presiden RI.. agr Rakyat/ Masyarakat Indonesia tau bagaimana KUALITAS & MUTU serta  BOBOT KECERDASAN &  POLA PIKIRNYA...,1,1
@Nuur.f,😢😢😢😢😢😢😢 Indonesia,0,1
@ketutmaru9086,Masyarakat sebagian besar petani jk ini yg Bpk perhatikan yakin para petani bs merasakan hasil jerih payahx didaerah2 tertentu agak susah mengembangkan usahax karena paktor keamanan jg,0,1
@27nurfadilazahra44,"Saya bangga dengan kinerja bapak, lanjutkan dan tidak perlu merespon omongan sampah yang tidak mendukung negara dan proses pemerintahan yang tidak mudah pak, tetap fokus tujuan utama saja sisanya buang😂",0,1
@Dhikyw,"jawabannya lengkap dan detail bangett, sampe lupa sama pertanyaan jurnalisnya",0,1
@MugiyonoAja,Ngerusakin pager,1,1
@MugiyonoAja,Aamiin,0,1
@MugiyonoAja,Aamiin,0,1
@MugiyonoAja,Alhamdulillah,0,1
@MugiyonoAja,Aamiin,0,1
@MugiyonoAja,Assalamualaikum BPK bos,0,1
@rasyiedhanafi9995,Cmon cmon cmon,0,1
@prameyong,"Kirain anda beda,trnyata sama😅😅😅😅😅😂",1,1
@sudiono5618,Omon omon ga nyambung,1,1
@Muksin-u8y,Tolak 100 purna tni jangan tanggapi soal pemakjulan WP mereka penhiana jalannya pemerintahan bau cuekin saja  otak celeng.,0,1
@williamvangeance3361,57:51 come on😂,0,1
@irbefin7914,Bapak yg ngomong tapi aku yg capek,0,1
@masdi1792,"sumpah seorang presiden masih tdk bs memilih memilah kata, masih pake bahasa ( persiden goblog ), fix indonesia harus kwatir dan kalo bisa usul ganti saja presiden dana wakil nya ga mutu, pertanyaan nasum nya daging semua, di jawab pake tulang ga bobot",1,2
@mustaqimchandra2877,"Pertanyaanya td apa ya, kok sy tdk nyambung,",0,1
@segera4449,"Pa prabowo presiden RI , tuntutan para purnawirawan TNI , 8 jumlahnya , tuntutan no. 1 yaitu untuk kembali ke uud , 45 , saya tidak setuju , saya menolak , sebab jika uud , kembali ke uud , 45 , maka 4 point amandemen uud , 45 , yaitu th 1999 , th ,2000, th , 2001 , dan th 2002 akan dihapus , itu yang sangat saya  tidak setuju . Selanjutnya , tuntutan lainnya yaitu yang , ke 2  sampai yang ke 8  , itu saya tak  ikut  komentar , artinya diserahkan kepada pa presiden  ,  itu urusan pa pa presiden  untuk mempertimbangkannya , terimakasih 
.",0,0
@yeniliasusanti,"Liat pak tua umur 73 tahun di telanjangi pola fikirnya,dan di paksa mengerti keadaan zaman yang terus bergerak pesat.Jawaban dari setiap pertanyaan kosong semua nyaris tanpa nilai.Jadi dia bukan orang jahat,tapi inkompeten.Ibarat supir traktor berusaha nerbangin pesawat Boeing.",2,1
@nadaminayah7957,“super semar” got me dying,1,1
@BanuLipurwanto,"Ini baru pemimpin yg mencatat sejarah dunia yg sangat bijak mau mengakui kepemimpinan terdahulunya dan menghormati sekaligus mau melanjutkan program² yg super istimewa, Ayo pak Prabowo kami² sangat mendukungmu sehat slalu Bapak semoga TUHAN slalu melindungimu...Amin❤️❤️❤️",0,1
@AbdiAbdi-x3w,"hee mereka kan orang pendidikan pak prebowo itu sia pa itukan kepala negara logikanya yah sedikit  sopan santun sedangkan  pak prabowo itu
lihat umr dan kalian umur muda  sopan dikit lah
ada katasebutan kamu dan aku kita adasebutan 
bappal danibu 
hargailah 
yg tua  maupun yg muda
 itulah sopan santun memangnya kepala negara ini adik kamu 
 bukakanya",1,1
@bepeatb.,UU TNI buat para jenderal tapi UU perampasan aset utk negeri ini...,0,1
@Victormzmeia,3 jam 26 menit isinya OMON-OMON doang anyinggg,1,1
@AZ10056,jawabannya ga ada yg nyambung,0,1
@JenikeyTimu-i7p,"Ini kita bicara Blak blakan Ya Mohon Maaf Pa, Apa lagi di Bangka Belitung ini Negara tetangga dekat Pa, jadi Bangka Belitung ini banyak Mafia paling gila selundup  PanPerempuan saja berani Pa🇲🇨🇲🇨❤️❤️❤️👏👏👏",0,1
@JenikeyTimu-i7p,"Dan TNI juga Pa dr tingkat Propinsi, Kabupaten, Kecamatan ingkar TNi bisa di beli juga sama Korea Korea Pa, jadi Masyarakat Sengsara Pa dan jadi Korban🇲🇨🇲🇨❤️❤️❤️👏👏👏",0,1
@JenikeyTimu-i7p,"Yang Punya duit Banyak itulah yg berkuasa, Gubernur, Walikota dan Bupati,dr Keamanan dlm Negeri Kapolda Kapolres dan Kapolsek bisa di beli🇲🇨🇲🇨❤️❤️❤️👏👏👏",0,1
@JenikeyTimu-i7p,"Jadi Gubernur tipu Menteri dan Menteri Pulang tipu Presiden jadi sama sama tipu Pa, Apa lagi Bangka Belitung ini Gila suap sogok🇲🇨🇲🇨❤️❤️❤️👏👏👏",0,0
@JenikeyTimu-i7p,"Krn Mentri DTG ke daerah bukan temui Masyarakat di lapangan tapi temui Gubernur DTG di Hotel berbintang, jadi Gubernur tipu Menteri, dan Menteri Pulang tipu Presiden ini Fakta Pa 🇲🇨🇲🇨❤️❤️❤️👏👏👏",0,0
@JenikeyTimu-i7p,"Ini Mohon maaf Pa bukan ngadu tapi cuma kasih tau Pa, Jgn seperti sebelum sebelumnya Pa, Krn Para Mentri DTG kedaerah bukan temui Masyarakat tapi DTG Ke Gubernur di terimah di Hotel berbintang, 🇲🇨🇲🇨❤️❤️❤️👏👏👏",0,1
@mohammadalfian1796,Asw.kami.rakyat.biassa.pokoknya.prapasan.akset.segera.di.sahkan.karna.sebelum.jadi.preseden.bapak.prabowo.sudah.janji.sama.rakyat.ini.yg.rakyat.tagih,0,1
@mahdhalenha7712,Herannn sama yang komen hujatt... Mereka nonton ngga ndengerin ... Ndengerin pula hatinya udh ketutup... Udh diselimuti sengit sebel dan benci ya begitu... Ngehujaaaaad mulu isinya... Komen2 nya ga bijak ujung2nya😂😂😂,0,2
@cutie.caratt,"keren yang di sana dengerinnya, kita disini udah istighfar mulu😢",0,1
@mahdhalenha7712,Menit ke 2jam lebih 40menit... Kami berharap bapak presiden.. Doa kami.. Bapak diberikan sehat sellalu dan dijauhkan dari orang2 dzolim yang berbuat jahat pada bapak.. Kami bangga dan bersyukur adanya bapak menjadi presiden.. Pelan2 insya Alloh yang kemarin ter phk kembali mendapatkan kerja dengan lapangan kerja yang terbuka ke depan,0,0
@mahdhalenha7712,Semoga next ada lagi yah mba nana❤❤❤ suka banget ndengerin interaksi pak presiden dengan para reporter2 ternama diindonesia.. Semua pembahasan bener2 daging..,2,1
@JohanPurba-r7d,"Pak prabowo seandainya masyarakat bisa berkomunikasi dengan bapak. Hati bapak pasti menangis melihat masyarakat yg masih banyak susah sekali di pelosok pelosok. Sementara yang korupsi di indonesia tidak mau kalau satu juta, kalau melihat dari berita, mensos  masyarakat melihat yg korup ratusan juta milyaran, sementara masyarakat dipedesaan bamyak yg terlantarkan . Tlg ya pak segala aparatur negara supaya bapak pesan bersatu membasmi segala kejahatan.",1,1
@JohanPurba-r7d,"Semoga pak prabowo sehat selalu, dalam lindungan Tuhan diberi kebijak samaan. Pak kami atas nama masyarakat memohon, tentang obat obatan terlarang di Indonesia supaya bapak perhatikan keamanan yang segera dibasmi dan dicari dari mana asal usul nya masyarakat menilai pihak kepolisian sepertinya, kurang serius untuk menangani kasus tersebut. Jadi tlg pak sekiranya, kalau pihak kepolisian inggak mampu, ikut sertakan aja TNI supaya cepat tuntas. Kasian pak generasi muda mudi kita. Terimakasih pak atas kebijakan bapak nantinya, kami tunggu. ❤❤❤❤❤❤❤",0,1
@titiwahyu_98,Oke  jelas,0,1
@ramagarbadin3158,Mau pemimpin yang seperti apa sih. Gak ada manusia sempurna yg jadi pemimpin kecuali Nabi Muhammad dan Imam Mahdi.,0,1
@abdulmuhit7777,"respect, doa terbaik untuk beliau dan teman2 seperjuangannya, mudah-mudahan diberikan kekuatan dan selalu dalam bimbingan dan petunjuk dari Allah swt, aamiin.",0,1
@ZHC.2024,Ini baru pas.. Adem,0,1
@BonarTmbunan,",jangan,ragu,pak,parabowo,bapak,pilihan,Rakiat,jangamudagoyah,",0,1
@wulakadaabdul6722,"Jangan lupa sejarah pak presiden , selain berbagai kebijakan yang diambil menyangkut swasembada pangan ada satu hal yang menjadi perhatian adalah peranan penyuluh pertanian sebagai ujung tombak dalam pembangunan pertanian. Dimana setelah tahun 1984 kita swasembada beras setelah itu setelah otonom status mereka diserah ke daerah peranan mulai berkurang dan sekarang tidak kedengaran lagi. Untuk itu kami sebagai eks Penyuluh pertanian spesialis memohon agar dalam pemerintahan bapak penyuluh pertanian agar dikembalikan ke pusat. Bilang perlu di daerah lembaganya berdiri sendiri tidak berada pada salah Dinas Teknis. Demikian sedikit masukan dari kami semoga ke depan peranan mereka semakin besar dalam mendampingi para petani kita dalam meningkatkan kebutuhan pangan di negeri ini. Salam santun",0,1
@edysuherman1658,Menurut saya sudah bagus dialog ini.,0,1
@EndangsuryanaSuryana-d9q,"Rahayu,  pundi asih terbuka...kasih sayang seorang pimpinan yang benar tau akan kepentingan rumah tangga Indonesia....dan tujuan kita menuju arah dari patriotis kemerdekaan.....yang diperjuangkan moyang kita tergapai dan tercapai pada sasaran. .indonesia bangun dan berdiri d kaki sendiri.dan mohon karena kita d kata negara miskin mari kita bangkit dari kemiskinan...pokok utama besik manusia adalah baku pokok makan ..sandang papan dalam berkehidupan MerdekaMerdeka Merdeka..Indonenia raya..hidup NKRI...salam santun HormatKami anak Bangs\",0,1
@sugengwahono8475,Jaka sembung pegang golok,0,1
@Namadoxcas,Bpk persiden berdiskusi luar biasa saya nga salah pilih keren ❤❤❤,1,1
@MedianMandiri,Adakah A1 botol halus,0,1
@taufikmoh5308,6 BLN mempersiapkan ternyata kabinetnya berisi orang orang bermasalah dan dilindungi,0,1
@JoniDaswarman,Kpu tidak beres sampai sekarang ijazah jokowi tidak jelas,0,1
@JoniDaswarman,Dialok yg tidak membuahkan hasil untuk apa? Cuman omon2doang kayak pinokio.boneka jokowi.,1,1
@djar6180,bpk prabowo❤❤,0,1
@mahdizarmawardi8507,"Prabowo, Prabowo.
Lain yg dotanya, lain yg dijawab",0,1
@teukuadami1803,Mantap pak prabowo cukup baik fufu fafa di minggir aja.,0,1
@BagioKamid,Tenang pak rayat medukung pak prabo kiban pak,0,1
@SofiaFirdaus26,Udah yappingnya?,0,1
@Fantoryall,"cuma mau bilang..


















oke gas oke gasss😂😂😂😂",2,1
@HarsonoBjn,"Ganti wapres,  brantas koroptor hukum berat dan di miskinkan para koroptor,sejahterakan rakyat, kami rakyat keci di bojonegoro siap dukung pak prabowo 2 (dwa)priode.",1,1
@user-ic4fc1io1f,saya bangga dengan pak Prabowo,0,1
@user-ic4fc1io1f,keren pak,0,1
@endangpurwaningsih6172,"Banyak bendungan ,pengairan, jalan  untuk mobilitas hasil bumi, kebutuhan masyarakat dg mobilitasnya telah dirintis oleh pak Jokowi..semoga pak Prabowo bisa menggunakan sesuai visi nya terutama peningkatan pangan dan ekonomi.",0,1
@endangpurwaningsih6172,"Membangun SDM dan infrastruktur sama pentingnya, tanpa infrastruktur yang mendukung pengembangan pangan tdk akan ada hasil yg maksimal",0,1
@dimazismechannel6182,"Kok ada orang yg masih gak paham? Ya gitu kalo udah benci ya apa aja yg dibilang juga pasti salah. Pak Prabowo pikirannya udah Internasional. Membawa dan membandingkan Indonesia dengan negara lain dengan program2 yg sudah sukses. Relasi nya Presiden2 negara lain. Riset dan Eksekusi. Cuma salahnya pak Prabowo setiap dia bekerja dia enggak bawa Kamera aja. Pak Prabowo mau membawa Negara ini ke next level, bukan nasional aja. Pondasi yg mau dia bangun dan tinggalkan. Tapi ya susah kalo SDM yg mau diajak next level masih di skala ini. Contohnya dapat dilihat dari komen-komen disini.",0,1
@AfrArya-jc8wo,Anjayy Jumbo the movie udah tayang di yutub secara gratis,0,1
@maddenHutagaul-ef2rf,"Pa Presiden buat singkat, padat, jelas, transfaransi n yg paling penting bgmna masyarakat NKRI ini bs hidup dgn baik, apa saja yg perlu dipersiapkan tp bkn makanan bergizi gratis bg kami masy hal itu tdk perlu.",0,1
@mlikhin2302,"Banyak disini yg berilmu tinggi,,tp hanya berkomentar busuk dan merasa paling benar ..
Sedangkan dikehidupan nyata nol besar..",0,1
@Firman-g6y,Assalamualaikum warahmatullahi barakatuh tolong air untuk petani di desa desa yang lahan kering di perhatikan soalnya sehebat hebatnja Tampa ada air sulit kita berhasil kalau saya di tlpn saya akan berbicara tentang pertanian untuk kemakmuran rakyat kecil,0,1
@Firman-g6y,Assalamualaikum warahmatullahi barakatuh pak presiden Prabowo tolong perhatikan anak anak kita sudah bertahun tahun magang tolong di perhatikan,0,1
@jailanimakasihdoanyasemuan2337,Gula awal pahit ahirnya apa kmu rasa rakyat ku,0,1
@jailanimakasihdoanyasemuan2337,Intelijen bowo apa kmu lanjut kan joko widodo yg sdh gagal tdk repot repot  lagi jgn sampai 3x,0,1
@muhammadfaza2654,HALO PRABOWO SAYA BUTUH MAKANSIANG GRATIS,0,1
@Arutoranumber7,"1:19:23 
""Awewewek""
😂😂😂

Tapi dari keseluruhan tanya jawab ini saya jadi mengerti bahwa....",0,1
@wiroutomo4284,"Korupsi dengan cara mempersulit pengurusan tanah seperti di desa Damarsi, kec Buduran, kab  Sidoarjo . Ada mafia tanah dengan cara membuat perdes perdes yg merampas tanah gogol , undang undang yg diterapkan adalah undang undang kolonial belanda , jadi rakyat dipersulit oles Kades dan BPD dengan cara membuat perdes yg berlawanan dengan Land reform yg sdh reform beberapa kali.
Jadi sawah gogol rakyat dipersulit mendaftar saja ke BPN. Tolong bantu aparat yg berwajib untuk menindak lanjuti
Terima kasih",1,1
@Ludialolopayung-oc2tg,"Tuhan melindungi Bapak Presiden Bapak Prabowo, menjagai, melindungi dlm segala kepemimpinanya",0,0
@ElangSamudra-mj2fw,Online sih iya tp apa artinya kl tdk ada pengawasan msh saja di permainkan org dlm pak ujung ujungnya sogokan,0,1
@video.sembilan,"Kapan eksklusif sama wakilnya saja ""Gibran"" pingin tahu pengalamannya selama jadi wakil presiden",0,0
@aziznurulhajji4684,"terkendali nd4smu, semongko 50ewu, minyak goreng 2 liter 40an ribu, beras 5 kilo 75 rb, ngomong seng a?",0,1
@akbarnfp5828,mega wati terlalu bnyak menjual aset negara,0,1
@kvinn6321,"Yang komen ngejelekin Prabowo, pasti nonton nya ngk smpe selesai😂",0,2
@SuciAnisa-c9e,Setiap kata yg keluar dari bapak saya istigfar😊,0,1
@bangdodo-lq1uv,Sampai menit 49 belum nemu apa artinya ini dialog😢😢😢,0,1
@iqk_mdwm2685,susah nangkep pointnya 😭,0,1
@Anakmeme28,mending gw aja deh yang ngomong pak klo ga bisa ngomong,0,1
@refanasmadi7044,Indonesia emas 2045 (bagi pejabat dan jajaran petingi-petinginya),0,1
@RianDadi-z2x,"Hukuman mati untuk koruptor itu sya kira sangat efisien,bagaimana caranya? Disini sya menggunakan istilah ""TAHANAN HUKUM"" artinya pada masa tahanan pertama koruptor dijatuhi hukum seadil-adilnya,setelah dibebaskan akan menjadi ""TAHANAN HUKUM"" maksudnya yaitu mantan koruptor tersebut akan dipantau selama masa hidupnya,jika beliau kedapatan melakukan kasus yang artinya merugikan Negara,maka hukum akan mengambil tindakan tegas yaitu dengan hukuman mati,sekecil dan sebesar apapun kasusnya,harus ditindak setegas-tegasnya...sya kira ini dapat mempersempit kesempatan para koruptor untuk melakukan korupsi ataupun mencegah koruptor melakukan hal yang sama,,sya sebagai RAKYAT YANG DIRESAHKAN menganggap hukuman tersebut sangat efisien,dan untuk anak dan istrinya Negara bisa memberikan kompensasi yg tdk selamanya dengan uang tetapi dengan memberikan pekerjaan atau modal bisnis yg pantas agar mereka boleh merasakan hal yg sama yang dirasakan rakyat pada umumnya........",0,1
@PahriantoAnto-s3p,Koruptor yg sudah di tangkap apa ceritanya kenapa harus ijazah Jokowi yg di urus mengalihkan masalah koropsi,0,1
@AlenkaaNur,"Request gibran, udah subrek",0,1
@sudarsonosudarsono6226,"Satu lg pak Prabowo..bukak lahan .. Gandum spy..bisa menampung pengangguran...dan sawit , karet , jagung, sagu, dlln..termasuk Jarak ,..❤❤❤❤🎉🎉🎉🎉",0,1
@sutrisno-m7v1g,"tolonng tanah yg belum dibangun  supaya ditanami orang,, butuh kerja",0,1
@sutrisno-m7v1g,terima kasih pak harga gabah lumayan pak,0,1
@novaljeni1874,Isi nya daging semua cuma busuk 😂😂😂😂😂😂,0,2
@SumBada-o1i,tolong  bapa prabowo presiden  kita turun  ke desa ya pa,0,0
@NisaPutri-z9y,kaget .nanti .mungkin ..dulu .sll,0,1
@MbahLis-jm2zg,PAK PRESIDEN PRABOWO SUBIYANTO. PAK GIBRAN JANGAN DI COPOT SEBAGAI WAPRES.,0,0
@samsugksa328,Korupsi itu bukan kekurangan gaji pak tapi keserakahan,0,1
@Muhamadyusuf-n9s,Alah Sumatra aja belum Ada.,0,1
@srimiyatun7651,Presidenku sehat sehat,0,1
@MasNin-c2e,Masih ada cmprtg pndahulu😂,0,1
@samsugksa328,Udah pak jangan omon² terus coba kali² turun ke masyarakat biar tau apa sebenarnya yg trjadi😂,0,1
@lenasilaban6028,Mantap 👍👍👍👍👍❤️🙏,0,1
@lenasilaban6028,Sehat selalu pak Prabowo Subianto presiden 👍❤️❤️❤️💪⛱️⛱️⛱️🇮🇩💪🙏,0,0
@KornelisSigin-gj8lr,"Tdk ada pikiran yg menyamakan Prabowo subianto. Dan Gibran. 
Ini sangat cemerlang,  di minta Malahan Gibran diminta mundur, 
Memang suara orang Kalah Pilpres.",0,1
@MugimanNabire,Mantab bapak presiden kita Prabowo di jiwannya ada ratu adil immammahdy takbir allohuakbar,0,0
@PoedjieLaksono80,"Saya kesini bukan mau nonton videonya, tapi cuma mau bacain komentar2nya, sumpah saya ga bohong!",0,2
@Elansutarlan-v5j,Prabowo ternyata gak sekuat imagenya,0,1
@SamsuDin-h6q,"Polisi jalanan menjadi musuh rakyat petatufan uu perampasan aset  rakyat dim situasi ekonomi lemah 
Tks .",0,1
@firdausmuhammad6129,apaansi ga nyambung wo,0,1
@agustinusjho3816,ini yg buat orang yg tidakkalah selalu mau morusak hubungan perabowo dgn jokowi ini sipat dendam yg di bangun oleh purnawirawam sekarang .sudah partai politik juga dendam molu .tolong bersihkan juga jurnalis gadungan sekarang kasian kami masarakat yg bayar gaji mereka uwartawan harus baik buat bangsa ini,0,1
@agustinusjho3816,tolong pak porabowo jgn mundur maju terus,0,1
@yadijajag,Jdlah presiden RI maju ynk mlndungi masyarakat Indonesia maju skrg,0,1
